priority,employer,sector,dfw_location,domain,target_role_families,ats,slug,checked_date,notes
2,KPMG,Consulting / Accounting,Dallas,kpmg.us,Audit associate; tax associate; advisory associate,talent_community,us-talentcommunity.kpmg.com,,
2,Accenture,Consulting / Technology,Irving,accenture.com,Consulting analyst; implementation associate; business analyst,workday,accenture.wd103.myworkdayjobs.com,,
2,Jacobs,Engineering / Professional Services,Dallas,jacobs.com,Project coordinator; business analyst,avature,jacobs.avature.net,,verified 2026-08-19: portal reachable (bot-walled); Avature host confirmed from careers.jacobs.com
2,Fluor,Engineering / Construction,Irving,fluor.com,Project coordinator; procurement associate,eightfold,fluor.eightfold.ai,,"verified 2026-08-19: 719 postings returned from Eightfold API, Aug 19"
2,CBRE Group,Real Estate / Professional Services,Dallas,cbre.com,Analyst; project coordinator; marketing coordinator,avature,portals-cbreglobal.avature.net,,Named in market research | verified 2026-08-19: confirmed via DNS: careers.cbre.com is a CNAME to this Avature host
3,AT&T,Technology / Telecom,Dallas,att.com,Data analyst; marketing coordinator; business systems associate,workday,att.wd1.myworkdayjobs.com/ATTGeneral,,"Enterprise HCM likely | verified 2026-08-19: 1,409 postings returned from Workday API, Aug 19"
3,Texas Instruments,Technology / Semiconductors,Dallas,ti.com,Data analyst; supply chain associate; IT support,oracle_cloud,careers.ti.com/en/sites/CX,,"verified 2026-08-19: Oracle Recruiting career site loads, Aug 19"
3,Toyota Motor North America,Automotive / Technology,Plano,toyota.com,Supply chain associate; marketing coordinator; data analyst,workday,toyota.wd503.myworkdayjobs.com/TMNA,,"Named in market research | verified 2026-08-19: 96 postings returned from Workday API, Aug 19"
3,Match Group,Technology,Dallas,mtch.com,Data analyst; marketing coordinator; QA analyst,lever,matchgroup,,"VERIFIED Lever in Aug 6 test run — 82 postings returned | verified 2026-08-19: 82 postings, Aug 6 test run; Lever API re-confirmed Aug 19. Slug is matchgroup, not mtch"
3,Solera,Technology / Data,Westlake,solera.com,Data analyst; market research analyst,workday,solera.wd5.myworkdayjobs.com/Global_Career_Site,,"Named in market research | verified 2026-08-19: 210 postings returned from Workday API, Aug 19"
3,Vistra Energy,Energy / Utilities,Irving,vistracorp.com,Data analyst; business analyst; procurement associate,workday,vst.wd5.myworkdayjobs.com/vistra_careers,,"verified 2026-08-19: 208 postings returned from Workday API, Aug 19"
3,Atmos Energy,Utilities,Dallas,atmosenergy.com,Business analyst; procurement associate; HR coordinator,workday,atmosenergy.wd108.myworkdayjobs.com/External_Career_Site,,"verified 2026-08-19: 44 postings returned from Workday API, Aug 19"
4,Baylor Scott & White Health,Healthcare,Dallas,bswhealth.com,Revenue cycle associate; patient access; health data associate,taleo,bswhealth.taleo.net/careersection/ex,,Largest not-for-profit health system in Texas | verified 2026-08-19: Taleo apply links confirmed on jobs.bswhealth.com; careersection loads
4,Texas Health Resources,Healthcare,Arlington,texashealth.org,Revenue cycle associate; healthcare admin coordinator,taleo,texashealth.taleo.net/careersection/2,,verified 2026-08-19: Taleo login/careersection confirmed from jobs.texashealth.org
4,Medical City Healthcare (HCA),Healthcare,Dallas,medicalcityhealthcare.com,Revenue cycle associate; patient access specialist,,careers.hcahealthcare.com,,Named in market research (revenue cycle documentation) | verified 2026-08-19: NOT RESOLVED — every HCA careers URL returns a Cloudflare challenge. Not fetchable by the puller either way
4,Tenet Healthcare,Healthcare,Dallas,tenethealth.com,Revenue cycle analyst; healthcare admin coordinator,oracle_cloud,eodr.fa.us2.oraclecloud.com,,verified 2026-08-19: Oracle candidate-experience site confirmed from jobs.tenethealth.com
4,UT Southwestern Medical Center,Healthcare / Education,Dallas,utsouthwestern.edu,Clinical research coordinator; health data associate; admin coordinator,taleo,utsw.taleo.net/careersection/1,,Public institution — separate hiring system likely | verified 2026-08-19: Taleo careersection confirmed from jobs.utsouthwestern.edu
4,Parkland Health,Healthcare,Dallas,parklandhealth.org,Patient access specialist; revenue cycle associate,workday,wd12.myworkdaysite.com/recruiting/parklandhospital/Parkland_Careers,,"Public hospital district | verified 2026-08-19: 337 postings returned from Workday API, Aug 19"
4,McKesson,Healthcare / Wholesale,Irving,mckesson.com,Supply chain associate; data analyst; revenue cycle,workday,mckesson.wd3.myworkdayjobs.com/External_Careers,,"verified 2026-08-19: 473 postings returned from Workday API, Aug 19"
5,American Airlines,Transportation,Fort Worth,aa.com,Logistics coordinator; data analyst; HR coordinator,successfactors,jobs.aa.com,,"Named in market research | verified 2026-08-19: jobs.aa.com uses the SuccessFactors career-site URL shape (/go/<category>/<id>/, /job/<title>/<reqid>-en_US/). Site is bot-walled and currently posting an upgrade notice"
5,Southwest Airlines,Transportation,Dallas,southwest.com,Logistics coordinator; HR coordinator; marketing coordinator,workday,swa.wd1.myworkdayjobs.com/external,,"verified 2026-08-19: 22 postings returned from Workday API, Aug 19 — low for Southwest; the external site may not expose everything"
5,Amazon,Logistics / Technology,Multiple DFW,amazon.com,Logistics coordinator; inventory planner; area manager,proprietary,amazon.jobs,,"30+ DFW facilities; own careers system | verified 2026-08-19: own careers platform; not one of the five, and not a hosted ATS"
5,Walmart,Retail / Supply Chain,Multiple DFW,walmart.com,Supply chain associate; merchandising; inventory planner,proprietary,careers.walmart.com,,verified 2026-08-19: careers.walmart.com is self-hosted. A walmart.wd5 Workday tenant appears in the wild but did not return job data on Aug 19 — do not use it without confirming
5,Lennox International,Industrial / Manufacturing,Richardson,lennoxinternational.com,Marketing coordinator; supply chain associate; CRM associate,icims,globalcareers-lennox.icims.com,,"Named in market research (RevOps + Salesforce) | verified 2026-08-19: iCIMS job search returns results, Aug 19"
5,Kimberly-Clark,Consumer Products,Irving,kimberly-clark.com,Marketing coordinator; supply chain associate; demand planning,workday,kimberlyclark.wd1.myworkdayjobs.com/GLOBAL,,"verified 2026-08-19: 182 postings returned from Workday API, Aug 19"
5,Sally Beauty Holdings,Retail,Denton,sallybeautyholdings.com,Merchandising associate; marketing coordinator; inventory planner,oracle_cloud,eigx.fa.us6.oraclecloud.com,,verified 2026-08-19: Oracle candidate-experience site confirmed from sallybeautyholdings.com/careers
5,Michaels,Retail,Irving,michaels.com,Merchandising associate; marketing coordinator; supply chain,workday,michaels.wd5.myworkdayjobs.com/External,,"verified 2026-08-19: 2,000 postings returned from Workday API, Aug 19"
5,GameStop,Retail,Grapevine,gamestop.com,Merchandising; marketing coordinator; e-commerce associate,ukg,gamestop.rec.pro.ukg.net/GAM1502GMSP,,verified 2026-08-19: UKG job board loads from gamestop.com/careers links
5,Builders FirstSource,Building Materials,Dallas,bldr.com,Procurement associate; supply chain associate,icims,careers.bldr.com,,"verified 2026-08-19: iCIMS on a custom domain. The classic /jobs/search?ss=1 endpoint 404s, so this is the newer iCIMS career-site product"
5,Copart,Automotive Services,Dallas,copart.com,Operations associate; data analyst,workday,copart.wd12.myworkdayjobs.com/Copart,,"verified 2026-08-19: 310 postings returned from Workday API, Aug 19"
